"Year","Canton","Sex","Age","Acquisition of Swiss citizenship"
"2011","Luzern","Female","52 years",8
"2011","Luzern","Female","53 years",4
"2011","Luzern","Female","54 years",2
"2011","Luzern","Female","55 years",7
"2011","Luzern","Female","56 years",5
"2011","Luzern","Female","57 years",2
"2011","Luzern","Female","58 years",2
"2011","Luzern","Female","59 years",4
"2011","Luzern","Female","60 years",3
"2011","Luzern","Female","61 years",2
"2011","Luzern","Female","62 years",3
"2011","Luzern","Female","63 years",1
"2011","Luzern","Female","64 years",1
"2011","Luzern","Female","65 years",1
"2011","Luzern","Female","66 years",0
"2011","Luzern","Female","67 years",1
"2011","Luzern","Female","68 years",1
"2011","Luzern","Female","69 years",1
"2011","Luzern","Female","70 years",1
"2011","Luzern","Female","71 years",0
"2011","Luzern","Female","72 years",0
"2011","Luzern","Female","73 years",1
"2011","Luzern","Female","74 years",0
"2011","Luzern","Female","75 years",0
"2011","Luzern","Female","76 years",2
"2011","Luzern","Female","77 years",0
"2011","Luzern","Female","78 years",0
"2011","Luzern","Female","79 years",0
"2011","Luzern","Female","80 years",1
"2011","Luzern","Female","81 years",0
"2011","Luzern","Female","82 years",0
"2011","Luzern","Female","83 years",0
"2011","Luzern","Female","84 years",0
"2011","Luzern","Female","85 years",0
"2011","Luzern","Female","86 years",0
"2011","Luzern","Female","87 years",0
"2011","Luzern","Female","88 years",0
"2011","Luzern","Female","89 years",0
"2011","Luzern","Female","90 years",0
"2011","Luzern","Female","91 years",0
"2011","Luzern","Female","92 years",0
"2011","Luzern","Female","93 years",0
"2011","Luzern","Female","94 years",0
"2011","Luzern","Female","95 years",0
"2011","Luzern","Female","96 years",0
"2011","Luzern","Female","97 years",0
"2011","Luzern","Female","98 years",0
"2011","Luzern","Female","99 years",0
"2011","Luzern","Female","100 years or older",0
"2011","Uri","Male","0 years",0
"2011","Uri","Male","1 year",0
"2011","Uri","Male","2 years",0
"2011","Uri","Male","3 years",0
"2011","Uri","Male","4 years",0
"2011","Uri","Male","5 years",2
"2011","Uri","Male","6 years",0
"2011","Uri","Male","7 years",1
"2011","Uri","Male","8 years",0
"2011","Uri","Male","9 years",0
"2011","Uri","Male","10 years",1
"2011","Uri","Male","11 years",3
"2011","Uri","Male","12 years",1
"2011","Uri","Male","13 years",0
"2011","Uri","Male","14 years",0
"2011","Uri","Male","15 years",0
"2011","Uri","Male","16 years",3
"2011","Uri","Male","17 years",0
"2011","Uri","Male","18 years",0
"2011","Uri","Male","19 years",1
"2011","Uri","Male","20 years",0
"2011","Uri","Male","21 years",0
"2011","Uri","Male","22 years",0
"2011","Uri","Male","23 years",1
"2011","Uri","Male","24 years",0
"2011","Uri","Male","25 years",0
"2011","Uri","Male","26 years",0
"2011","Uri","Male","27 years",0
"2011","Uri","Male","28 years",1
"2011","Uri","Male","29 years",0
"2011","Uri","Male","30 years",1
"2011","Uri","Male","31 years",1
"2011","Uri","Male","32 years",2
"2011","Uri","Male","33 years",1
"2011","Uri","Male","34 years",0
"2011","Uri","Male","35 years",2
"2011","Uri","Male","36 years",1
"2011","Uri","Male","37 years",2
"2011","Uri","Male","38 years",0
"2011","Uri","Male","39 years",0
"2011","Uri","Male","40 years",0
"2011","Uri","Male","41 years",2
"2011","Uri","Male","42 years",0
"2011","Uri","Male","43 years",0
"2011","Uri","Male","44 years",0
"2011","Uri","Male","45 years",1
"2011","Uri","Male","46 years",1
"2011","Uri","Male","47 years",1
"2011","Uri","Male","48 years",1
"2011","Uri","Male","49 years",0
"2011","Uri","Male","50 years",0
"2011","Uri","Male","51 years",0
"2011","Uri","Male","52 years",1
"2011","Uri","Male","53 years",0
"2011","Uri","Male","54 years",1
"2011","Uri","Male","55 years",0
"2011","Uri","Male","56 years",1
"2011","Uri","Male","57 years",0
"2011","Uri","Male","58 years",0
"2011","Uri","Male","59 years",1
"2011","Uri","Male","60 years",0
"2011","Uri","Male","61 years",0
"2011","Uri","Male","62 years",0
"2011","Uri","Male","63 years",1
"2011","Uri","Male","64 years",0
"2011","Uri","Male","65 years",0
"2011","Uri","Male","66 years",0
"2011","Uri","Male","67 years",0
"2011","Uri","Male","68 years",0
"2011","Uri","Male","69 years",0
"2011","Uri","Male","70 years",0
"2011","Uri","Male","71 years",0
"2011","Uri","Male","72 years",0
"2011","Uri","Male","73 years",0
"2011","Uri","Male","74 years",0
"2011","Uri","Male","75 years",0
"2011","Uri","Male","76 years",0
"2011","Uri","Male","77 years",0
"2011","Uri","Male","78 years",0
"2011","Uri","Male","79 years",0
"2011","Uri","Male","80 years",0
"2011","Uri","Male","81 years",0
"2011","Uri","Male","82 years",0
"2011","Uri","Male","83 years",0
"2011","Uri","Male","84 years",0
"2011","Uri","Male","85 years",0
"2011","Uri","Male","86 years",0
"2011","Uri","Male","87 years",0
"2011","Uri","Male","88 years",0
"2011","Uri","Male","89 years",0
"2011","Uri","Male","90 years",0
"2011","Uri","Male","91 years",0
"2011","Uri","Male","92 years",0
"2011","Uri","Male","93 years",0
"2011","Uri","Male","94 years",0
"2011","Uri","Male","95 years",0
"2011","Uri","Male","96 years",0
"2011","Uri","Male","97 years",0
"2011","Uri","Male","98 years",0
"2011","Uri","Male","99 years",0
"2011","Uri","Male","100 years or older",0
"2011","Uri","Female","0 years",0
"2011","Uri","Female","1 year",1
"2011","Uri","Female","2 years",1
"2011","Uri","Female","3 years",0
"2011","Uri","Female","4 years",1
"2011","Uri","Female","5 years",1
"2011","Uri","Female","6 years",1
"2011","Uri","Female","7 years",0
"2011","Uri","Female","8 years",1
"2011","Uri","Female","9 years",0
"2011","Uri","Female","10 years",1
"2011","Uri","Female","11 years",0
"2011","Uri","Female","12 years",0
"2011","Uri","Female","13 years",1
"2011","Uri","Female","14 years",0
"2011","Uri","Female","15 years",3
"2011","Uri","Female","16 years",0
"2011","Uri","Female","17 years",0
"2011","Uri","Female","18 years",0
"2011","Uri","Female","19 years",3
"2011","Uri","Female","20 years",1
"2011","Uri","Female","21 years",0
"2011","Uri","Female","22 years",1
"2011","Uri","Female","23 years",0
"2011","Uri","Female","24 years",1
"2011","Uri","Female","25 years",0
"2011","Uri","Female","26 years",1
"2011","Uri","Female","27 years",0
"2011","Uri","Female","28 years",2
"2011","Uri","Female","29 years",0
"2011","Uri","Female","30 years",0
"2011","Uri","Female","31 years",1
"2011","Uri","Female","32 years",1
