Year,Canton,Age Group,marriages
1984,Schwyz,10-19,0
1984,Schwyz,20-29,357
1984,Schwyz,30-39,46
1984,Schwyz,40-49,3
1984,Schwyz,50-59,2
1984,Schwyz,60-69,1
1984,Schwyz,70-79,0
1984,Schwyz,80-89,0
1984,Solothurn,10-19,2
1984,Solothurn,20-29,665
1984,Solothurn,30-39,103
1984,Solothurn,40-49,20
1984,Solothurn,50-59,11
1984,Solothurn,60-69,1
1984,Solothurn,70-79,1
1984,Solothurn,80-89,0
1984,St. Gallen,10-19,2
1984,St. Gallen,20-29,1415
1984,St. Gallen,30-39,198
1984,St. Gallen,40-49,41
1984,St. Gallen,50-59,8
1984,St. Gallen,60-69,8
1984,St. Gallen,70-79,1
1984,St. Gallen,80-89,0
1984,Thurgau,10-19,0
1984,Thurgau,20-29,621
1984,Thurgau,30-39,108
1984,Thurgau,40-49,15
1984,Thurgau,50-59,8
1984,Thurgau,60-69,1
1984,Thurgau,70-79,2
1984,Thurgau,80-89,0
1984,Ticino,10-19,3
1984,Ticino,20-29,614
1984,Ticino,30-39,138
1984,Ticino,40-49,20
1984,Ticino,50-59,10
1984,Ticino,60-69,4
1984,Ticino,70-79,0
1984,Ticino,80-89,0
1984,Uri,10-19,0
1984,Uri,20-29,116
1984,Uri,30-39,11
1984,Uri,40-49,0
1984,Uri,50-59,0
1984,Uri,60-69,0
1984,Uri,70-79,0
1984,Uri,80-89,0
1984,Valais / Wallis,10-19,6
1984,Valais / Wallis,20-29,861
1984,Valais / Wallis,30-39,90
1984,Valais / Wallis,40-49,20
1984,Valais / Wallis,50-59,2
1984,Valais / Wallis,60-69,4
1984,Valais / Wallis,70-79,1
1984,Valais / Wallis,80-89,0
1984,Vaud,10-19,4
1984,Vaud,20-29,1627
1984,Vaud,30-39,296
1984,Vaud,40-49,65
1984,Vaud,50-59,31
1984,Vaud,60-69,7
1984,Vaud,70-79,2
1984,Vaud,80-89,0
1984,Zug,10-19,2
1984,Zug,20-29,251
1984,Zug,30-39,59
1984,Zug,40-49,7
1984,Zug,50-59,0
1984,Zug,60-69,1
1984,Zug,70-79,0
1984,Zug,80-89,0
1984,Zürich,10-19,6
1984,Zürich,20-29,3153
1984,Zürich,30-39,936
1984,Zürich,40-49,179
1984,Zürich,50-59,53
1984,Zürich,60-69,18
1984,Zürich,70-79,3
1984,Zürich,80-89,0
1985,Aargau,10-19,2
1985,Aargau,20-29,1382
1985,Aargau,30-39,326
1985,Aargau,40-49,55
1985,Aargau,50-59,15
1985,Aargau,60-69,2
1985,Aargau,70-79,0
1985,Aargau,80-89,0
1985,Appenzell Ausserrhoden,10-19,0
1985,Appenzell Ausserrhoden,20-29,138
1985,Appenzell Ausserrhoden,30-39,27
1985,Appenzell Ausserrhoden,40-49,3
1985,Appenzell Ausserrhoden,50-59,0
1985,Appenzell Ausserrhoden,60-69,1
